Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
On the Waterfront,1954,"Crime, Drama, Thriller",108 min,8.1,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Richard Reynolds,Non-binary,,1967.0,2.0
La vie d'Adèle,2013,"Drama, Romance",180 min,7.7,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",Brent Roberts,Non-binary,,1972.0,9.0
When Harry Met Sally...,1989,"Comedy, Drama, Romance",95 min,7.6,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",,Male,Malawi,1960.0,1.0
Psycho,1960,"Horror, Mystery, Thriller",109 min,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Jack Estrada,Non-binary,North Macedonia,1945.0,3.0
Hell or High Water,2016,"Action, Crime, Drama",,7.6,,Michael Farrell,Female,Brazil,1965.0,0.0
The Dark Knight,2008,,,9.0,,Alan Wilkerson,Male,Ghana,1982.0,10.0
Night of the Living Dead,1968,"Horror, Thriller",96 min,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Richard Ruiz,Female,Venezuela,1946.0,20.0
Dev.D,2009,"Drama, Romance",144 min,8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",,Female,,1951.0,3.0
True Grit,2010,"Drama, Western",110 min,,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Marc Martinez,Non-binary,Italy,,
All the President's Men,1976,"Biography, Drama, History",138 min,7.9,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",David Bennett,Non-binary,,1970.0,7.0
The Perks of Being a Wallflower,2012,"Drama, Romance",103 min,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,,Male,,1960.0,16.0
A Hard Day's Night,1964,"Comedy, Music, Musical",87 min,7.6,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",Patrick Hughes,Female,Austria,1955.0,5.0
The Artist,2011,"Comedy, Drama, Romance",100 min,7.9,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,Jacob Peters,Non-binary,Faroe Islands,1940.0,
Hidden Figures,2016,"Biography, Drama, History",127 min,,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Max Mitchell,Female,Saint Kitts and Nevis,1956.0,
Joker,2019,,122 min,,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Renee Chung,Non-binary,Saint Barthelemy,1964.0,10.0
Shichinin no samurai,1954,"Action, Adventure, Drama",207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Stephanie Valdez,Female,Gibraltar,1955.0,17.0
Into the Wild,2007,,148 min,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Laura Benson,Male,Rwanda,1968.0,
Die Hard: With a Vengeance,1995,,128 min,,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",Patricia Johnson,Non-binary,Romania,1988.0,14.0
To Be or Not to Be,1942,"Comedy, War",,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Rhonda Moore,,Argentina,1957.0,7.0
Wonder,2017,"Drama, Family",,8.0,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Kevin Bryant,Female,Russian Federation,1961.0,12.0
The Godfather: Part II,1974,"Crime, Drama",202 min,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Michael Johnson,,Cook Islands,1959.0,20.0
Relatos salvajes,2014,"Comedy, Drama, Thriller",,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,Jordan Wells,Male,,1977.0,5.0
Almost Famous,2000,,122 min,7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Kristin Long,Female,Ireland,1986.0,5.0
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",81 min,7.7,,Douglas Chapman,,Gabon,1976.0,
Le salaire de la peur,1953,"Adventure, Drama, Thriller",131 min,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Nicholas Schultz,Non-binary,Lesotho,1940.0,
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131 min,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Megan Carter,Female,Barbados,1956.0,12.0
Doctor Zhivago,1965,"Drama, Romance, War",197 min,8.0,,Patricia Kim,Female,Oman,1981.0,0.0
Tengoku to jigoku,1963,"Crime, Drama, Mystery",143 min,8.4,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,Gina Hodge,Female,,1963.0,19.0
1917,2019,,119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Dustin Chen,Female,,1984.0,6.0
Solaris,1972,,167 min,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Elizabeth Carr,Non-binary,Finland,1955.0,14.0
Sunset Blvd.,1950,"Drama, Film-Noir",110 min,,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,,Non-binary,Norway,1943.0,18.0
Kelly's Heroes,1970,"Adventure, Comedy, War",144 min,7.6,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,,Female,India,1982.0,13.0
Adaptation.,2002,"Comedy, Drama",115 min,7.7,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,William Smith,Male,Panama,1947.0,12.0
Creed,2015,,133 min,7.6,,,Male,Switzerland,1969.0,0.0
Scent of a Woman,1992,Drama,156 min,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Kelly Carr,Non-binary,Botswana,1959.0,6.0
Togo,2019,,,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",Christopher Walker,Male,Venezuela,1950.0,6.0
Once Were Warriors,1994,"Crime, Drama",,7.9,,Cheyenne Jackson,Female,Romania,1965.0,8.0
The Visitor,2007,,104 min,7.6,,Teresa Daniels,Male,Cayman Islands,1983.0,2.0
Gone Baby Gone,2007,"Crime, Drama, Mystery",114 min,7.6,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Vanessa Finley,Non-binary,Chad,1972.0,18.0
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Phillip Krause,Female,Saint Lucia,1985.0,3.0
The Fault in Our Stars,2014,"Drama, Romance",126 min,7.7,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Samuel Jones,,Jersey,1989.0,17.0
Manbiki kazoku,2018,"Crime, Drama",121 min,7.9,A family of small-time crooks take in a child they find outside in the cold.,Anna Anderson,Non-binary,Ethiopia,,5.0
Requiem for a Dream,2000,,102 min,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Jennifer Payne,Male,Trinidad and Tobago,1984.0,11.0
Dead Poets Society,1989,"Comedy, Drama",128 min,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,,,Poland,1947.0,
The Avengers,2012,"Action, Adventure, Sci-Fi",,8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Samuel Smith,Non-binary,Saint Martin,1980.0,6.0
Rebel Without a Cause,1955,Drama,111 min,7.7,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",,Male,Panama,,14.0
Interstate 60: Episodes of the Road,2002,"Adventure, Comedy, Drama",116 min,7.7,,Melanie Schneider,Female,Nicaragua,1963.0,3.0
Dogville,2003,"Crime, Drama",178 min,8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Mr. Jeremy Lopez Jr.,Male,Namibia,1979.0,8.0
Pride & Prejudice,2005,"Drama, Romance",129 min,7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Kaitlyn Nunez,Male,Nicaragua,1954.0,
Vizontele,2001,"Comedy, Drama",110 min,8.0,Lives of residents in a small Anatolian village change when television is introduced to them,Connie Acosta,Female,Paraguay,1954.0,16.0
Jab We Met,2007,"Comedy, Drama, Romance",138 min,7.9,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Jennifer Sanchez,,Germany,1948.0,20.0
North by Northwest,1959,"Adventure, Mystery, Thriller",136 min,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Yvette Clark,Non-binary,Djibouti,,
Serbuan maut,2011,"Action, Thriller",101 min,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Allison Robinson,Male,Paraguay,1949.0,19.0
The Truman Show,1998,"Comedy, Drama",103 min,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,,Female,Haiti,1969.0,12.0
Carlito's Way,1993,"Crime, Drama, Thriller",144 min,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Gregory Parker,Male,Reunion,1987.0,19.0
Fight Club,1999,Drama,139 min,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",,Male,San Marino,,12.0
Pink,2016,"Drama, Thriller",136 min,8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Kristen Meza,Female,Pakistan,1963.0,18.0
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",158 min,7.8,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",David Kelley,Female,Madagascar,1966.0,3.0
Rear Window,1954,,112 min,8.4,,,Male,Kyrgyz Republic,1984.0,11.0
Coraline,2009,,100 min,7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Bryan Ward,Female,Solomon Islands,1975.0,11.0
Pride,2014,,119 min,7.8,,Thomas Campbell,Male,,1970.0,
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",107 min,7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Phillip Huerta,Female,Switzerland,1988.0,19.0
Salinui chueok,2003,"Crime, Drama, Mystery",131 min,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Jesus Houston,,Saudi Arabia,1974.0,5.0
Andrei Rublev,1966,"Biography, Drama, History",205 min,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Zachary Mendoza,Female,Senegal,1982.0,9.0
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",117 min,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Dana Alvarado,Male,Mozambique,1953.0,19.0
Duck Soup,1933,,69 min,7.8,,,Female,Malaysia,1988.0,
Dallas Buyers Club,2013,"Biography, Drama",117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Christy Townsend,Male,North Macedonia,,2.0
Kind Hearts and Coronets,1949,"Comedy, Crime",106 min,8.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Chase Wang,Female,,1983.0,4.0
Okuribito,2008,,130 min,8.1,A newly unemployed cellist takes a job preparing the dead for funerals.,Tabitha Davis MD,,Jersey,1988.0,10.0
Enemy at the Gates,2001,"Drama, History, War",,7.6,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,Roy Scott,Male,United States Virgin Islands,1978.0,3.0
Y tu mamá también,2001,Drama,106 min,7.6,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",,Female,Dominican Republic,1990.0,
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy",103 min,,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",Bobby Mosley,Male,Panama,1945.0,9.0
Les choristes,2004,"Drama, Music",97 min,7.9,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,,Non-binary,,1973.0,3.0
Dil Bechara,2020,"Comedy, Drama, Romance",101 min,7.9,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",Ray Carter,Non-binary,Papua New Guinea,1968.0,5.0
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",115 min,8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Brandy Hess,Female,Palestinian Territory,1973.0,11.0
"I, Daniel Blake",2016,Drama,100 min,7.9,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",Pamela Brown,Male,Chile,1985.0,4.0
Jeux d'enfants,2003,"Comedy, Drama, Romance",93 min,7.6,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Susan Harris,Male,Northern Mariana Islands,1963.0,16.0
Who's Afraid of Virginia Woolf?,1966,,,8.0,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",John Baxter,Male,Burundi,1944.0,12.0
Schindler's List,1993,,195 min,8.9,,Kevin Schmidt,Female,Cameroon,1976.0,
Batman Begins,2005,"Action, Adventure",140 min,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Tracey Frazier,Female,Antarctica (the territory South of 60 deg S),1947.0,19.0
Harold and Maude,1971,"Comedy, Drama, Romance",91 min,7.9,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Carol Macdonald,Non-binary,Korea,1943.0,4.0
Sweet Smell of Success,1957,"Drama, Film-Noir",96 min,8.0,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,Heather May,Male,,1975.0,18.0
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",113 min,7.9,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",,,Norfolk Island,1972.0,
Fiddler on the Roof,1971,"Drama, Family, Musical",181 min,8.0,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",Anthony Tucker,Female,Zambia,1952.0,13.0
The Machinist,2004,"Drama, Thriller",101 min,,,,Female,United States Virgin Islands,,5.0
Blow,2001,"Biography, Crime, Drama",124 min,7.6,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",Brian Wallace,Non-binary,Dominican Republic,,15.0
Gully Boy,2019,"Drama, Music, Romance",154 min,8.0,A coming-of-age story based on the lives of street rappers in Mumbai.,Mathew Reeves,Male,,1949.0,20.0
Paddington 2,2017,"Adventure, Comedy, Family",103 min,7.8,,Sharon Howard,Male,New Caledonia,1950.0,
Mysterious Skin,2004,Drama,,,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Joseph Robinson,,Tokelau,1960.0,20.0
Freaks,1932,"Drama, Horror",,7.9,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",Todd Neal,Female,Fiji,,5.0
English Vinglish,2012,"Comedy, Drama, Family",134 min,7.8,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Paul Dean,Male,Guam,1968.0,
This Is Spinal Tap,1984,"Comedy, Music",82 min,,,Amy Gomez MD,Male,Peru,1947.0,5.0
Under sandet,2015,"Drama, History, War",,7.8,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",Mrs. Nancy White,Non-binary,Palau,1983.0,15.0
The Innocents,1961,Horror,100 min,,A young governess for two children becomes convinced that the house and grounds are haunted.,Raymond Thompson,,Martinique,,9.0
In a Lonely Place,1950,,94 min,8.0,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",Kelly Lawson,Non-binary,,1985.0,4.0
Laura,1944,"Drama, Film-Noir, Mystery",88 min,8.0,A police detective falls in love with the woman whose murder he is investigating.,Kenneth Smith,Non-binary,Norway,1977.0,5.0
Hachi: A Dog's Tale,2009,"Biography, Drama, Family",93 min,8.1,,,Female,Antigua and Barbuda,1971.0,
My Name Is Khan,2010,Drama,165 min,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Nathan Combs,Male,Greece,,14.0
Omoide no Mânî,2014,"Animation, Drama, Family",103 min,7.7,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",Jasmine Kaiser,Female,,1972.0,19.0
Hacksaw Ridge,2016,"Biography, Drama, History",,,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Troy Rodriguez,,Madagascar,1968.0,1.0
Witness for the Prosecution,1957,"Crime, Drama, Mystery",,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,,,Dominican Republic,,11.0
Chak De! India,2007,"Drama, Family, Sport",153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Katrina Freeman,Male,Bolivia,1969.0,0.0
Le notti di Cabiria,1957,Drama,110 min,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Debra Beck,Male,Bahamas,1948.0,15.0
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",166 min,7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",Dr. Julie Torres,Male,Angola,1972.0,4.0
The Bourne Supremacy,2004,"Action, Mystery, Thriller",108 min,7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Gloria Mason,Female,Eritrea,1966.0,6.0
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Danielle Williams,Non-binary,Honduras,1969.0,
Bohemian Rhapsody,2018,"Biography, Drama, Music",134 min,,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Renee Dennis,,Switzerland,1976.0,17.0
Un prophète,2009,"Crime, Drama",,7.9,A young Arab man is sent to a French prison.,Tracy Davis,Female,Swaziland,1943.0,
To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",100 min,,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.",Pamela Gray,Male,Bangladesh,1975.0,
Talvar,2015,"Crime, Drama, Mystery",132 min,8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Bryan Williams,Male,,1969.0,15.0
My Fair Lady,1964,"Drama, Family, Musical",170 min,7.8,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,Jennifer Welch,Female,Singapore,1983.0,
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99 min,8.1,,James Dudley,Non-binary,,1959.0,15.0
Deadpool 2,2018,"Action, Adventure, Comedy",119 min,7.7,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Matthew Banks,Non-binary,Kazakhstan,1986.0,
Veer-Zaara,2004,"Drama, Family, Musical",192 min,7.8,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Isabella Long,Male,,,14.0
The Shawshank Redemption,1994,,,9.3,,Scott Flores,,Spain,1965.0,15.0
It Happened One Night,1934,"Comedy, Romance",105 min,8.1,,Edward Watson,Non-binary,Maldives,,5.0
Jules et Jim,1962,,105 min,7.8,,Tricia Fischer,,Namibia,1940.0,2.0
Charade,1963,"Comedy, Mystery, Romance",113 min,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Deanna Conrad,Male,Saint Martin,1987.0,18.0
The Day the Earth Stood Still,1951,"Drama, Sci-Fi",92 min,,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,Timothy Brown,Non-binary,Montenegro,1953.0,0.0
The Blues Brothers,1980,"Action, Adventure, Comedy",,7.9,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",Tasha Davis,,Belarus,1977.0,7.0
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",138 min,7.9,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",Ronald Martinez,Female,,1944.0,9.0
Rain Man,1988,Drama,133 min,,,Jason Olson,Female,Italy,1942.0,1.0
Ran,1985,"Action, Drama, War",162 min,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Andrea Clayton,Male,Wallis and Futuna,1967.0,8.0
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,,,Lisa Rodriguez,Non-binary,Togo,,7.0
Kôkaku Kidôtai,1995,"Animation, Action, Crime",83 min,8.0,,Chad Fox,Female,Armenia,1984.0,
