Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
The Machinist,2004,"Drama, Thriller",101 min,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Macao,1996-10-02,Profit-focused dedicated workforce,PG
Mysterious Skin,2004,Drama,105 min,7.6,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Holy See (Vatican City State),2016-08-23,,Unrated
The Innocents,1961,Horror,100 min,7.8,A young governess for two children becomes convinced that the house and grounds are haunted.,Gambia,2000-04-17,,PG-13
The Innocents,1961,Horror,100 min,7.8,A young governess for two children becomes convinced that the house and grounds are haunted.,Honduras,2010-10-26,,PG
My Name Is Khan,2010,Drama,165 min,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Jordan,2007-12-12,,PG
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116 min,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Japan,1995-04-15,,PG
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116 min,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Jordan,1997-06-16,,Unrated
Chak De! India,2007,"Drama, Family, Sport",153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Bouvet Island (Bouvetoya),2012-11-16,,PG-13
Chak De! India,2007,"Drama, Family, Sport",153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Heard Island and McDonald Islands,2023-09-07,,R
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Afghanistan,2017-11-10,,NC-17
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Hong Kong,2020-09-14,,G
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",South Georgia and the South Sandwich Islands,2001-12-05,,G
Talvar,2015,"Crime, Drama, Mystery",132 min,8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Jamaica,2001-03-26,De-engineered contextually-based intranet,R
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99 min,8.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Luxembourg,2019-03-27,Self-enabling full-range productivity,PG
Deadpool 2,2018,"Action, Adventure, Comedy",119 min,7.7,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",San Marino,2019-08-22,Implemented mobile focus group,R
Veer-Zaara,2004,"Drama, Family, Musical",192 min,7.8,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Kuwait,2019-11-22,,Unrated
The Shawshank Redemption,1994,Drama,142 min,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Taiwan,2024-04-04,Reduced modular complexity,R
It Happened One Night,1934,"Comedy, Romance",105 min,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Timor-Leste,2001-08-24,,G
Jules et Jim,1962,"Drama, Romance",105 min,7.8,Decades of a love triangle concerning two friends and an impulsive woman.,Cook Islands,2000-11-18,Function-based discrete hardware,PG
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",French Guiana,2020-05-13,,PG-13
Yôjinbô,1961,"Action, Drama, Thriller",110 min,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Cape Verde,2014-03-06,,G
Green Book,2018,"Biography, Comedy, Drama",130 min,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Barbados,2006-07-17,,PG
Baby,2015,"Action, Crime, Thriller",159 min,8.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Guatemala,1998-10-20,,PG
Klaus,2019,"Animation, Adventure, Comedy",96 min,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Philippines,1995-08-17,Decentralized interactive utilization,R
Rope,1948,"Crime, Drama, Mystery",80 min,8.0,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Vanuatu,2008-10-23,Customizable national software,Unrated
Heat,1995,"Crime, Drama, Thriller",170 min,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,United Arab Emirates,2004-01-09,,G
The Longest Day,1962,"Action, Drama, History",178 min,7.8,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",Belarus,2012-12-27,User-centric 6thgeneration protocol,G
Gangs of Wasseypur,2012,"Action, Comedy, Crime",321 min,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Tonga,2011-03-31,,PG
A Little Princess,1995,"Drama, Family, Fantasy",97 min,7.7,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,Portugal,2014-08-26,,PG-13
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",156 min,8.1,A gangster sets out to fulfill his father's dream of becoming a doctor.,Australia,1999-05-24,,NC-17
Million Dollar Baby,2004,"Drama, Sport",132 min,8.1,A determined woman works with a hardened boxing trainer to become a professional.,Panama,2005-05-17,Innovative 5thgeneration contingency,NC-17
Kahaani,2012,"Mystery, Thriller",122 min,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Latvia,2002-04-01,,R
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Ireland,2017-06-27,,G
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Mauritius,2011-04-17,,PG-13
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",115 min,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Israel,2017-03-16,Up-sized zero-defect infrastructure,G
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",United States of America,2013-04-17,Universal eco-centric encoding,PG
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92 min,8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Japan,2015-11-04,,PG
From Here to Eternity,1953,"Drama, Romance, War",118 min,7.6,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",Syrian Arab Republic,2024-11-26,,PG-13
Saving Private Ryan,1998,"Drama, War",169 min,8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Switzerland,1995-10-19,,PG
Call Me by Your Name,2017,"Drama, Romance",132 min,7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Belize,1996-02-08,Synchronized radical artificial intelligence,Unrated
A Christmas Story,1983,"Comedy, Family",93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Equatorial Guinea,2013-11-19,,NC-17
A Christmas Story,1983,"Comedy, Family",93 min,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Latvia,1995-12-11,,PG
Ying xiong,2002,"Action, Adventure, History",120 min,7.9,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",Holy See (Vatican City State),2016-11-28,Intuitive intermediate standardization,PG
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Portugal,2008-06-20,,G
The Secret of Kells,2009,"Animation, Adventure, Family",71 min,7.6,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Japan,2003-11-02,,R
Short Cuts,1993,"Comedy, Drama",188 min,7.7,The day-to-day lives of several suburban Los Angeles residents.,Malaysia,2001-01-08,Phased human-resource migration,G
Key Largo,1948,"Action, Crime, Drama",100 min,7.8,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",Equatorial Guinea,1995-09-15,Configurable asymmetric core,NC-17
Empire of the Sun,1987,"Action, Drama, History",153 min,7.7,A young English boy struggles to survive under Japanese occupation during World War II.,Rwanda,2001-08-24,,PG
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Guam,2014-07-31,,Unrated
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Bahrain,2021-02-21,Mandatory asymmetric installation,R
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Mexico,2007-03-25,,R
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,7.8,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Nigeria,2012-11-03,,PG-13
Nosferatu,1922,"Fantasy, Horror",94 min,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,Kenya,2009-11-04,Organic radical extranet,PG-13
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",North Macedonia,2023-06-09,Quality-focused asynchronous time-frame,NC-17
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Albania,2001-09-26,,Unrated
"Il buono, il brutto, il cattivo",1966,Western,161 min,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Guatemala,2009-04-01,,R
Casino Royale,2006,"Action, Adventure, Thriller",144 min,8.0,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",France,2012-06-02,Expanded optimizing Graphical User Interface,NC-17
Forushande,2016,Drama,124 min,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Faroe Islands,2007-07-21,,PG
The Lion in Winter,1968,"Biography, Drama, History",134 min,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",Western Sahara,2018-12-13,,NC-17
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",90 min,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Japan,1999-11-18,Distributed exuding benchmark,R
Batman: Mask of the Phantasm,1993,"Animation, Action, Crime",76 min,7.8,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Guinea-Bissau,2013-10-28,,Unrated
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Mozambique,1997-02-08,,NC-17
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",China,2011-06-08,,Unrated
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Holy See (Vatican City State),2022-02-07,,Unrated
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",United Arab Emirates,2023-09-18,Ameliorated transitional frame,R
Little Women,2019,"Drama, Romance",135 min,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",American Samoa,2008-01-25,,PG
The Sixth Sense,1999,"Drama, Mystery, Thriller",107 min,8.1,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Mexico,2004-05-08,Front-line zero tolerance array,NC-17
Boyz n the Hood,1991,"Crime, Drama",112 min,7.8,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",Belgium,2000-01-05,,R
Boyz n the Hood,1991,"Crime, Drama",112 min,7.8,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",Uganda,2019-10-08,,R
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Lesotho,2024-01-16,,PG
Mou gaan dou,2002,"Action, Crime, Drama",101 min,8.0,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Guyana,2008-11-09,,NC-17
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136 min,8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Brunei Darussalam,2006-06-09,,PG
Lost Highway,1997,"Mystery, Thriller",134 min,7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",Lebanon,2000-01-30,,G
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Kiribati,2020-08-11,Function-based 24/7 interface,Unrated
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",87 min,8.0,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Denmark,2024-04-07,,G
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Slovakia (Slovak Republic),2017-04-14,,NC-17
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Germany,2002-02-19,Face-to-face encompassing Internet solution,PG
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama",125 min,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Sweden,2015-04-11,Polarized fault-tolerant product,NC-17
Babam ve Oglum,2005,"Drama, Family",112 min,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Uruguay,2022-04-21,,G
Ajeossi,2010,"Action, Crime, Drama",119 min,7.8,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,Burkina Faso,2014-04-14,,NC-17
Män som hatar kvinnor,2009,"Crime, Drama, Mystery",152 min,7.8,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Japan,2011-07-15,,PG-13
The Fall,2006,"Adventure, Drama, Fantasy",117 min,7.9,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",French Southern Territories,1999-09-09,Assimilated neutral emulation,Unrated
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",101 min,7.7,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",El Salvador,2008-09-09,,PG-13
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Montserrat,2013-03-26,,R
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Armenia,2022-07-29,Grass-roots tertiary implementation,PG
Dog Day Afternoon,1975,"Biography, Crime, Drama",125 min,8.0,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Bangladesh,2019-08-31,Fully-configurable human-resource workforce,PG-13
Sabrina,1954,"Comedy, Drama, Romance",113 min,7.7,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",French Polynesia,2022-04-23,,G
Down by Law,1986,"Comedy, Crime, Drama",107 min,7.8,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Somalia,2022-09-09,,PG-13
Sholay,1975,"Action, Adventure, Comedy",204 min,8.2,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Qatar,1998-09-02,,PG
Sleepers,1996,"Crime, Drama, Thriller",147 min,7.6,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",Libyan Arab Jamahiriya,2019-02-25,,Unrated
Mulan,1998,"Animation, Adventure, Family",88 min,7.6,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",Russian Federation,2013-10-04,Enhanced attitude-oriented project,Unrated
Goodfellas,1990,"Biography, Crime, Drama",146 min,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Jersey,2011-05-20,,Unrated
Airlift,2016,"Drama, History",130 min,8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Australia,2018-06-08,,Unrated
The Great Escape,1963,"Adventure, Drama, History",172 min,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Cayman Islands,2007-11-05,Automated mobile neural-net,Unrated
The Warriors,1979,"Action, Crime, Thriller",92 min,7.6,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",Guinea-Bissau,1998-04-04,Operative hybrid policy,R
The Warriors,1979,"Action, Crime, Thriller",92 min,7.6,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",Germany,2020-09-03,,G
Cidade de Deus,2002,"Crime, Drama",130 min,8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",El Salvador,2005-12-16,Organized bandwidth-monitored contingency,PG-13
Goldfinger,1964,"Action, Adventure, Thriller",110 min,7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Jamaica,2020-10-14,Networked well-modulated service-desk,PG-13
Hiroshima mon amour,1959,"Drama, Romance",90 min,7.9,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Italy,2005-03-19,,Unrated
Room,2015,"Drama, Thriller",118 min,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Puerto Rico,2025-02-28,,Unrated
