Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Award_Name,Award_Category,Award_Year,Won
Togo,2019,"Adventure, Biography, Drama",,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",,,2023.0,False
Once Were Warriors,1994,"Crime, Drama",102 min,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Sundance,Best Screenplay,2011.0,False
Once Were Warriors,1994,"Crime, Drama",102 min,,,Sundance,,2016.0,
The Fault in Our Stars,2014,"Drama, Romance",126 min,,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,,Best Actor,2016.0,False
Vizontele,2001,"Comedy, Drama",,8.0,Lives of residents in a small Anatolian village change when television is introduced to them,Cannes,Best Actress,2003.0,False
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",158 min,7.8,,Cannes,Best Cinematography,2014.0,True
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",117 min,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Oscar,Best Picture,2012.0,
Duck Soup,1933,"Comedy, Musical, War",69 min,7.8,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,BAFTA,Best Screenplay,,False
Dallas Buyers Club,2013,"Biography, Drama",117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Sundance,,2017.0,True
Okuribito,2008,"Drama, Music",130 min,8.1,A newly unemployed cellist takes a job preparing the dead for funerals.,Cannes,Best Actress,2004.0,False
Jeux d'enfants,2003,"Comedy, Drama, Romance",93 min,7.6,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Oscar,,2019.0,
Who's Afraid of Virginia Woolf?,1966,Drama,131 min,8.0,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",,Best Actor,2017.0,
Chak De! India,2007,"Drama, Family, Sport",153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,,Best Actor,2007.0,False
Ran,1985,,162 min,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Oscar,Best Actor,,True
A Star Is Born,2018,"Drama, Music, Romance",136 min,7.6,,Oscar,Best Cinematography,2010.0,False
A Star Is Born,2018,"Drama, Music, Romance",136 min,,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,,Best Screenplay,2000.0,False
Fanny och Alexander,1982,,188 min,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",BAFTA,Best Cinematography,2013.0,False
Il conformista,1970,Drama,113 min,8.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Cannes,Best Actor,2001.0,False
Klaus,2019,"Animation, Adventure, Comedy",,8.2,,BAFTA,Best Picture,2009.0,
Raging Bull,1980,"Biography, Drama, Sport",,8.2,,Oscar,Best Screenplay,2017.0,True
Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",156 min,8.1,,BAFTA,Best Actor,2012.0,False
Det sjunde inseglet,1957,"Drama, Fantasy, History",96 min,8.2,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Golden Globe,,2023.0,True
Scarface,1983,"Crime, Drama",170 min,8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Sundance,Best Cinematography,,
Call Me by Your Name,2017,"Drama, Romance",132 min,,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Oscar,Best Actor,2021.0,False
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy",169 min,7.8,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",Cannes,Best Director,2022.0,False
La planète sauvage,1973,"Animation, Sci-Fi",72 min,7.8,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",Cannes,Best Actress,2018.0,False
Dead Man's Shoes,2004,"Crime, Drama, Thriller",90 min,7.6,A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.,BAFTA,Best Actress,,False
The Imitation Game,2014,"Biography, Drama, Thriller",114 min,8.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Sundance,Best Actress,2007.0,True
Toy Story 2,1999,"Animation, Adventure, Comedy",92 min,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",Golden Globe,Best Picture,2008.0,False
The Color Purple,1985,,154 min,7.8,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,Cannes,Best Director,,True
Mimi wo sumaseba,1995,"Animation, Drama, Family",111 min,7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Sundance,Best Cinematography,2009.0,False
Bringing Up Baby,1938,"Comedy, Family, Romance",102 min,7.8,,BAFTA,Best Screenplay,2004.0,False
The Pursuit of Happyness,2006,"Biography, Drama",117 min,,,,Best Cinematography,2011.0,False
The Pursuit of Happyness,2006,"Biography, Drama",117 min,8.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Golden Globe,,2000.0,
"Il buono, il brutto, il cattivo",1966,Western,161 min,8.8,,,Best Picture,2023.0,True
Taken,2008,"Action, Thriller",90 min,7.8,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",BAFTA,Best Actor,2014.0,False
My Cousin Vinny,1992,"Comedy, Crime",,,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",Golden Globe,Best Actor,2021.0,
Little Women,2019,"Drama, Romance",135 min,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",,Best Actor,2004.0,False
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",129 min,8.0,,Sundance,Best Director,2004.0,False
Lost Highway,1997,"Mystery, Thriller",134 min,7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",,Best Picture,2008.0,False
2001: A Space Odyssey,1968,,149 min,8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Oscar,Best Picture,,
Babam ve Oglum,2005,"Drama, Family",112 min,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Golden Globe,Best Director,2006.0,
Watchmen,2009,,,7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Golden Globe,Best Picture,2011.0,True
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",108 min,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Cannes,Best Screenplay,2022.0,True
Groundhog Day,1993,"Comedy, Fantasy, Romance",101 min,8.0,,Oscar,Best Actor,2019.0,False
Gake no ue no Ponyo,2008,,101 min,7.7,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",Cannes,Best Picture,2022.0,False
Down by Law,1986,,107 min,7.8,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Golden Globe,Best Actor,2012.0,True
Sleepers,1996,"Crime, Drama, Thriller",,7.6,,BAFTA,Best Actress,2001.0,False
Magnolia,1999,,188 min,,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",,Best Screenplay,2006.0,
La haine,1995,"Crime, Drama",98 min,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Oscar,,2023.0,False
Amarcord,1973,"Comedy, Drama, Family",123 min,7.9,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Oscar,,2013.0,
Special Chabbis,2013,"Crime, Drama, Thriller",,8.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Oscar,Best Actress,2016.0,False
Special Chabbis,2013,,144 min,,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Oscar,Best Actor,2017.0,True
Goodfellas,1990,,146 min,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",BAFTA,Best Actor,2006.0,True
Airlift,2016,"Drama, History",130 min,8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Cannes,Best Picture,2004.0,False
Blade Runner 2049,2017,"Action, Drama, Mystery",164 min,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Golden Globe,Best Actress,,True
Adams æbler,2005,,94 min,7.8,A neo-nazi sentenced to community service at a church clashes with the blindly devotional priest.,Golden Globe,Best Picture,2005.0,True
28 Days Later...,2002,"Drama, Horror, Sci-Fi",113 min,,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",BAFTA,Best Actress,2009.0,False
Fried Green Tomatoes,1991,Drama,130 min,7.7,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,,Best Cinematography,2015.0,False
Lawrence of Arabia,1962,"Adventure, Biography, Drama",228 min,8.3,,Golden Globe,Best Screenplay,2023.0,False
Dangal,2016,"Action, Biography, Drama",161 min,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Sundance,Best Actor,2019.0,True
Blue Velvet,1986,"Drama, Mystery, Thriller",,7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",,Best Screenplay,,False
Her,2013,"Drama, Romance, Sci-Fi",126 min,8.0,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Cannes,Best Cinematography,2021.0,False
Donnie Brasco,1997,"Biography, Crime, Drama",127 min,7.7,,Golden Globe,Best Actor,2014.0,False
Höstsonaten,1978,,,,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Cannes,Best Director,2023.0,True
The Gentlemen,2019,"Action, Comedy, Crime",,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Cannes,,2019.0,False
Midnight in Paris,2011,"Comedy, Fantasy, Romance",96 min,7.7,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",Oscar,Best Actress,2004.0,False
Ghostbusters,1984,"Action, Comedy, Fantasy",105 min,7.8,Three former parapsychology professors set up shop as a unique ghost removal service.,,Best Cinematography,2001.0,True
Celda 211,2009,"Action, Adventure, Crime",113 min,7.6,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",Golden Globe,Best Actor,2006.0,False
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,8.7,,Cannes,Best Screenplay,2007.0,False
Star Wars: Episode V - The Empire Strikes Back,1980,"Action, Adventure, Fantasy",124 min,8.7,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Sundance,Best Actor,2011.0,True
The Bourne Identity,2002,"Action, Mystery, Thriller",119 min,7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Golden Globe,Best Director,2005.0,True
Finding Neverland,2004,"Biography, Drama, Family",106 min,,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Oscar,,2019.0,True
Chinatown,1974,"Drama, Mystery, Thriller",,,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Golden Globe,Best Screenplay,2003.0,True
The Bridges of Madison County,1995,"Drama, Romance",135 min,7.6,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,,Best Actor,2011.0,False
Reservoir Dogs,1992,"Crime, Drama, Thriller",99 min,,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Oscar,,2022.0,False
Capharnaüm,2018,,126 min,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Sundance,Best Cinematography,2011.0,False
PK,2014,"Comedy, Drama, Musical",,,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Oscar,Best Picture,2005.0,False
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,,Best Cinematography,2000.0,False
Fa yeung nin wah,2000,"Drama, Romance",98 min,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",BAFTA,Best Picture,2022.0,False
Sound of Metal,2019,"Drama, Music",120 min,7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,BAFTA,Best Screenplay,2000.0,False
Jurassic Park,1993,"Action, Adventure, Sci-Fi",127 min,,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,BAFTA,Best Actor,2011.0,False
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",163 min,8.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Golden Globe,Best Actress,2013.0,False
Double Indemnity,1944,"Crime, Drama, Film-Noir",107 min,8.3,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Oscar,Best Actor,2021.0,True
Dirty Harry,1971,"Action, Crime, Thriller",102 min,7.7,,BAFTA,Best Picture,2004.0,
Chugyeokja,2008,"Action, Crime, Thriller",125 min,7.8,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,Golden Globe,Best Screenplay,2004.0,
Koe no katachi,2016,"Animation, Drama, Family",130 min,8.1,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Oscar,Best Actor,2017.0,True
The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",161 min,,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",Golden Globe,Best Screenplay,2020.0,False
Logan,2017,"Action, Drama, Sci-Fi",,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Oscar,,2017.0,False
Logan,2017,"Action, Drama, Sci-Fi",137 min,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Oscar,Best Cinematography,2009.0,False
Despicable Me,2010,"Animation, Comedy, Crime",95 min,7.6,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",,Best Screenplay,2015.0,True
Uri: The Surgical Strike,2018,"Action, Drama, War",138 min,8.2,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Oscar,Best Actor,2007.0,True
The Last Samurai,2003,"Action, Drama",154 min,7.7,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,Sundance,Best Cinematography,2004.0,False
Kai po che!,2013,"Drama, Sport",130 min,7.7,,,,2010.0,False
As Good as It Gets,1997,"Comedy, Drama, Romance",139 min,7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",,Best Picture,2017.0,False
Gilda,1946,,110 min,7.7,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,Oscar,Best Screenplay,,False
Gilda,1946,"Drama, Film-Noir, Romance",,7.7,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,Golden Globe,Best Picture,2006.0,True
Pâfekuto burû,1997,,81 min,8.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Cannes,Best Screenplay,,False
Cinderella Man,2005,,144 min,8.0,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Sundance,Best Actress,2002.0,True
Hot Fuzz,2007,"Action, Comedy, Mystery",121 min,,,BAFTA,Best Screenplay,2001.0,False
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Sundance,Best Screenplay,,False
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Golden Globe,,2021.0,False
Edward Scissorhands,1990,"Drama, Fantasy, Romance",105 min,7.9,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Golden Globe,,2011.0,
Tonari no Totoro,1988,"Animation, Family, Fantasy",86 min,8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Oscar,Best Picture,2015.0,True
The Taking of Pelham One Two Three,1974,"Action, Crime, Thriller",104 min,7.7,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?",Sundance,Best Director,2022.0,
Batoru rowaiaru,2000,"Action, Adventure, Drama",114 min,7.6,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Cannes,,2003.0,False
Batoru rowaiaru,2000,"Action, Adventure, Drama",114 min,7.6,"In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Golden Globe,Best Actress,,True
Batoru rowaiaru,2000,"Action, Adventure, Drama",114 min,7.6,,,,2017.0,False
Detachment,2011,Drama,98 min,7.7,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,BAFTA,Best Cinematography,2010.0,
Days of Heaven,1978,"Drama, Romance",,,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,BAFTA,Best Cinematography,2010.0,
The Thin Man,1934,"Comedy, Crime, Mystery",91 min,8.0,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",Cannes,Best Director,2021.0,False
12 Angry Men,1957,"Crime, Drama",96 min,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,BAFTA,Best Actor,2023.0,
Match Point,2005,"Drama, Romance, Thriller",124 min,7.6,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Cannes,Best Actress,2009.0,False
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",147 min,7.7,,,,2005.0,False
The Breakfast Club,1985,"Comedy, Drama",,7.8,,BAFTA,Best Director,2014.0,True
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",116 min,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Cannes,,2002.0,False
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",116 min,8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",BAFTA,,2019.0,False
It's a Wonderful Life,1946,"Drama, Family, Fantasy",130 min,,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Golden Globe,Best Cinematography,,False
The Little Mermaid,1989,"Animation, Family, Fantasy",83 min,7.6,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,,Best Picture,2012.0,False
Sense and Sensibility,1995,"Drama, Romance",,7.6,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Cannes,Best Actor,2005.0,False
Yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance",,8.0,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Sundance,Best Picture,,True
Bonnie and Clyde,1967,"Action, Biography, Crime",,7.8,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",,Best Picture,2014.0,True
The Godfather,1972,"Crime, Drama",175 min,9.2,,Golden Globe,Best Picture,2014.0,
The Big Lebowski,1998,,117 min,8.1,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",BAFTA,Best Actress,2009.0,False
Mr. Smith Goes to Washington,1939,"Comedy, Drama",129 min,8.1,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Golden Globe,Best Actress,2009.0,False
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",126 min,8.2,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,BAFTA,Best Actress,2018.0,False
Being John Malkovich,1999,"Comedy, Drama, Fantasy",113 min,7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Cannes,Best Actress,2002.0,False
Being There,1979,"Comedy, Drama",130 min,8.0,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",Sundance,Best Screenplay,,False
Good Will Hunting,1997,,,8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",BAFTA,Best Actor,,False
Wait Until Dark,1967,Thriller,,7.8,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,BAFTA,Best Cinematography,,False
Once Upon a Time in America,1984,,229 min,8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Sundance,Best Actress,2018.0,False
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",,,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Oscar,Best Actress,2020.0,
Kaze no tani no Naushika,1984,"Animation, Adventure, Fantasy",117 min,,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Golden Globe,Best Cinematography,2014.0,False
Zulu,1964,"Drama, History, War",138 min,7.7,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,BAFTA,Best Cinematography,2012.0,False
Zulu,1964,"Drama, History, War",138 min,7.7,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,Golden Globe,Best Actress,2005.0,True
