Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
The Dark Knight,2008,"Action, Crime, Drama",152 min,9.0,,51000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Taylor Group,Summer,Alan Wilkerson,Male,Ghana,1982.0,10.0
Night of the Living Dead,1968,"Horror, Thriller",96 min,7.9,,184000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Smith, Rodriguez and Matthews",Spring,Richard Ruiz,Female,Venezuela,1946.0,
Dev.D,2009,"Drama, Romance",144 min,8.0,,167000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sullivan-Hunt,,,Female,Mozambique,1951.0,3.0
True Grit,2010,"Drama, Western",110 min,7.6,,180000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith Ltd,,Marc Martinez,Non-binary,,,5.0
All the President's Men,1976,"Biography, Drama, History",138 min,7.9,,140000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Rodriguez-Donaldson,Spring,David Bennett,Non-binary,Madagascar,1970.0,7.0
The Perks of Being a Wallflower,2012,"Drama, Romance",103 min,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,108000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Davis, Rojas and Thomas",Spring,Eric Glover,Male,Antigua and Barbuda,,16.0
A Hard Day's Night,1964,"Comedy, Music, Musical",87 min,7.6,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",57000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Robinson Ltd,Fall,Patrick Hughes,Female,Austria,1955.0,5.0
The Artist,2011,"Comedy, Drama, Romance",100 min,7.9,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,115000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Brown-Hayes,Winter,Jacob Peters,Non-binary,Faroe Islands,1940.0,17.0
Hidden Figures,2016,"Biography, Drama, History",,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,151000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams-Thompson,Winter,Max Mitchell,Female,Saint Kitts and Nevis,,5.0
Joker,2019,"Crime, Drama, Thriller",122 min,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",72000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Summer,Renee Chung,,Saint Barthelemy,1964.0,10.0
Shichinin no samurai,1954,"Action, Adventure, Drama",207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,2000000.0,,,Pittman Inc,Spring,Stephanie Valdez,Female,Gibraltar,1955.0,17.0
Into the Wild,2007,"Adventure, Biography, Drama",,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",195000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Carter, Allen and Chen",Summer,Laura Benson,Male,Rwanda,1968.0,
Die Hard: With a Vengeance,1995,"Action, Adventure, Thriller",,7.6,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",41000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Curtis and Sons,Spring,Patricia Johnson,Non-binary,Romania,1988.0,
To Be or Not to Be,1942,,99 min,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Duran, Campos and Perez",Fall,Rhonda Moore,Male,Argentina,1957.0,7.0
Wonder,2017,"Drama, Family",113 min,8.0,,109000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ford, Cooper and Williams",,,Female,Russian Federation,1961.0,12.0
The Godfather: Part II,1974,"Crime, Drama",202 min,9.0,,88000000.0,<function <lambda> at 0x00000168A434E0C0>,,Baird-Jackson,Spring,Michael Johnson,Female,Cook Islands,1959.0,20.0
Relatos salvajes,2014,,122 min,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,72000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,,Jordan Wells,Male,China,,5.0
Almost Famous,2000,"Adventure, Comedy, Drama",122 min,,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,40000000.0,,<function <lambda> at 0x00000168A43CA0C0>,Brooks Inc,,Kristin Long,Female,Ireland,1986.0,5.0
"South Park: Bigger, Longer & Uncut",1999,,81 min,7.7,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",56000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Walker, Castillo and Mcintosh",Fall,Douglas Chapman,Non-binary,Gabon,1976.0,20.0
Le salaire de la peur,1953,"Adventure, Drama, Thriller",131 min,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gallegos-Monroe,Spring,Nicholas Schultz,Non-binary,,1940.0,13.0
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131 min,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Garrett, Cross and Collins",Fall,Megan Carter,Female,,1956.0,
Doctor Zhivago,1965,"Drama, Romance, War",197 min,8.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",27000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jones Ltd,Spring,,Female,Oman,,0.0
Tengoku to jigoku,1963,"Crime, Drama, Mystery",,8.4,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Fernandez LLC,Winter,Gina Hodge,Female,Netherlands Antilles,1963.0,
1917,2019,"Drama, Thriller, War",119 min,8.3,,98000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wells Group,Winter,Dustin Chen,Female,Gibraltar,,6.0
Solaris,1972,"Drama, Mystery, Sci-Fi",167 min,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,25000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cervantes-Harris,Spring,Elizabeth Carr,Non-binary,Finland,,14.0
Sunset Blvd.,1950,"Drama, Film-Noir",110 min,,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,92000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Winter,Sabrina Hoover,Non-binary,Norway,1943.0,18.0
Kelly's Heroes,1970,,144 min,7.6,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,89000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Brown-Johnson,,Stephen Anderson,Female,India,1982.0,
Adaptation.,2002,"Comedy, Drama",115 min,7.7,,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams-Houston,Winter,William Smith,Male,Panama,1947.0,12.0
Creed,2015,"Drama, Sport",133 min,7.6,,68000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Summer,Noah Kaiser,Male,Switzerland,1969.0,
Scent of a Woman,1992,,156 min,,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",12000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Fowler Inc,Winter,Kelly Carr,Non-binary,Botswana,1959.0,6.0
Togo,2019,"Adventure, Biography, Drama",,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",187000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Campbell Inc,Summer,Christopher Walker,,Venezuela,1950.0,6.0
Once Were Warriors,1994,"Crime, Drama",102 min,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,118000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Tran-Mercer,Fall,Cheyenne Jackson,Female,Romania,1965.0,8.0
The Visitor,2007,Drama,,7.6,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,138000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Winter,,Male,Cayman Islands,1983.0,2.0
Gone Baby Gone,2007,"Crime, Drama, Mystery",,7.6,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",32000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Chapman, Carroll and Snyder",Winter,Vanessa Finley,Non-binary,,1972.0,18.0
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201 min,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,,<function <lambda> at 0x00000168A434E0C0>,,Nicholson and Sons,Winter,Phillip Krause,Female,Saint Lucia,1985.0,3.0
The Fault in Our Stars,2014,,126 min,7.7,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,21000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Samuel Jones,,Jersey,1989.0,17.0
Manbiki kazoku,2018,"Crime, Drama",121 min,7.9,A family of small-time crooks take in a child they find outside in the cold.,142000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Simpson-Williams,Fall,Anna Anderson,Non-binary,Ethiopia,,5.0
Requiem for a Dream,2000,,102 min,,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Lloyd, Hernandez and Lopez",Summer,Jennifer Payne,Male,Trinidad and Tobago,1984.0,11.0
Dead Poets Society,1989,"Comedy, Drama",128 min,,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,161000000.0,<function <lambda> at 0x00000168A434E0C0>,,Moore-Clark,,Daniel Schmidt,Non-binary,Poland,1947.0,10.0
The Avengers,2012,,143 min,8.0,,159000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Samuel Smith,Non-binary,Saint Martin,,6.0
Rebel Without a Cause,1955,Drama,111 min,7.7,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",93000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Sheppard, Nichols and Howell",Winter,Angelica Matthews,Male,Panama,1958.0,14.0
Interstate 60: Episodes of the Road,2002,"Adventure, Comedy, Drama",116 min,7.7,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",148000000.0,<function <lambda> at 0x00000168A434E0C0>,,,Summer,,Female,,1963.0,3.0
Dogville,2003,"Crime, Drama",178 min,8.0,,50000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Steele, Cole and James",Winter,Mr. Jeremy Lopez Jr.,Male,Namibia,,8.0
Pride & Prejudice,2005,"Drama, Romance",129 min,,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",181000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Moore, Mata and Galloway",Winter,Kaitlyn Nunez,,Nicaragua,1954.0,15.0
Vizontele,2001,,110 min,8.0,Lives of residents in a small Anatolian village change when television is introduced to them,18000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Young,Fall,Connie Acosta,,,1954.0,16.0
Jab We Met,2007,"Comedy, Drama, Romance",138 min,7.9,,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wall Ltd,Spring,Jennifer Sanchez,Female,Germany,1948.0,20.0
North by Northwest,1959,,136 min,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,170000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Soto, Johnson and Blair",Winter,Yvette Clark,Non-binary,Djibouti,,10.0
Serbuan maut,2011,"Action, Thriller",101 min,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,59000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Serrano Inc,Fall,Allison Robinson,,,1949.0,19.0
The Truman Show,1998,,,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,198000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Price-Hunter,Summer,James Mckay,Female,Haiti,1969.0,12.0
Carlito's Way,1993,"Crime, Drama, Thriller",144 min,,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",75000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Yu-Gray,Winter,,Male,,1987.0,19.0
Fight Club,1999,Drama,139 min,,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",21000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lucas LLC,Summer,David Scott,Male,San Marino,1978.0,
Pink,2016,"Drama, Thriller",136 min,,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Fisher-Gibbs,Fall,Kristen Meza,Female,Pakistan,1963.0,18.0
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",158 min,7.8,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",26000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams-Ferguson,Fall,David Kelley,Female,Madagascar,1966.0,3.0
Rear Window,1954,"Mystery, Thriller",112 min,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,98000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Peter Jacobson,Male,Kyrgyz Republic,1984.0,11.0
Coraline,2009,"Animation, Drama, Family",100 min,7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",72000000.0,,<function <lambda> at 0x00000168A43CA0C0>,,Fall,Bryan Ward,,Solomon Islands,1975.0,11.0
Pride,2014,"Biography, Comedy, Drama",119 min,,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,117000000.0,<function <lambda> at 0x00000168A434E0C0>,,,Fall,Thomas Campbell,Male,Saint Martin,1970.0,14.0
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",107 min,7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",163000000.0,<function <lambda> at 0x00000168A434E0C0>,,Davis-Mcbride,Spring,Phillip Huerta,Female,Switzerland,1988.0,19.0
Salinui chueok,2003,,131 min,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",94000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Palmer, Dixon and Johnson",Summer,Jesus Houston,Non-binary,Saudi Arabia,,5.0
Andrei Rublev,1966,"Biography, Drama, History",205 min,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",42000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Rhodes, Gutierrez and Williams",,Zachary Mendoza,Female,Senegal,1982.0,9.0
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",117 min,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",95000000.0,<function <lambda> at 0x00000168A434E0C0>,,"Robinson, Jacobson and Medina",Summer,Dana Alvarado,Male,Mozambique,1953.0,19.0
Duck Soup,1933,"Comedy, Musical, War",69 min,7.8,,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wright and Sons,Winter,Spencer Blackwell,Female,Malaysia,1988.0,18.0
Dallas Buyers Club,2013,"Biography, Drama",117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",54000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Monroe-Wilson,Winter,Christy Townsend,Male,,1955.0,2.0
Kind Hearts and Coronets,1949,"Comedy, Crime",106 min,8.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lin-Miles,Summer,Chase Wang,Female,Mauritania,1983.0,4.0
Okuribito,2008,"Drama, Music",130 min,8.1,A newly unemployed cellist takes a job preparing the dead for funerals.,69000000.0,,<function <lambda> at 0x00000168A43CA0C0>,"Brooks, Jackson and White",Winter,Tabitha Davis MD,Male,,,10.0
Enemy at the Gates,2001,"Drama, History, War",131 min,7.6,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,180000000.0,<function <lambda> at 0x00000168A434E0C0>,,Tapia LLC,Winter,Roy Scott,,United States Virgin Islands,1978.0,
Y tu mamá también,2001,Drama,106 min,,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",175000000.0,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,,,,,,1990.0,
