Series_Title,Country,Release_Date,Localized_Title,Censorship_Rating
Schindler's List,Ethiopia,2004-08-26,Diverse fault-tolerant workforce,G
Kis Uykusu,Guinea-Bissau,2004-05-22,,PG
What Ever Happened to Baby Jane?,Peru,2019-02-23,,G
The Machinist,Macao,1996-10-02,Profit-focused dedicated workforce,PG
Midnight Express,Brunei Darussalam,2020-03-20,Seamless web-enabled adapter,NC-17
Key Largo,Equatorial Guinea,1995-09-15,Configurable asymmetric core,NC-17
Dogville,France,2021-03-22,,R
The Lord of the Rings: The Return of the King,Taiwan,2001-01-27,,R
Persepolis,Peru,1999-11-13,,PG
The Intouchables,Palau,1995-10-08,Persevering real-time data-warehouse,PG-13
American Gangster,Poland,1999-03-06,,Unrated
Udaan,Vietnam,2023-07-29,Horizontal contextually-based strategy,G
Sling Blade,Cambodia,2002-07-03,,PG-13
Inception,Angola,2016-09-20,Progressive executive interface,PG-13
Chak De! India,Bouvet Island (Bouvetoya),2012-11-16,,PG-13
Sing Street,Ukraine,2006-06-15,Upgradable client-driven budgetary management,PG-13
12 Angry Men,Mayotte,2014-12-31,,NC-17
Green Book,Barbados,2006-07-17,,PG
The Fifth Element,Grenada,2014-12-20,Sharable content-based contingency,NC-17
Glory,Mozambique,1997-02-08,,NC-17
Mou gaan dou,Lesotho,2024-01-16,,PG
Straight Outta Compton,Rwanda,2020-04-12,,G
50/50,India,1999-09-20,,Unrated
A Streetcar Named Desire,Guam,2014-07-31,,Unrated
Klaus,Philippines,1995-08-17,Decentralized interactive utilization,R
The Secret of Kells,Japan,2003-11-02,,R
What Ever Happened to Baby Jane?,Nigeria,1996-02-27,,PG-13
Hunt for the Wilderpeople,Fiji,2009-01-09,,PG
Slumdog Millionaire,Albania,2001-09-26,,Unrated
Carlito's Way,Lithuania,2016-01-16,,PG-13
Being John Malkovich,Bouvet Island (Bouvetoya),2001-12-01,,PG
Mary Poppins,South Africa,2015-02-12,,PG
La montaña sagrada,Oman,2019-03-01,,NC-17
G.O.R.A.,Mexico,2010-08-26,,G
Once Upon a Time in the West,Iran,2020-07-20,,R
Kimi no na wa.,United States of America,2013-04-17,Universal eco-centric encoding,PG
Miller's Crossing,France,1996-02-12,,PG-13
Ang-ma-reul bo-at-da,South Georgia and the South Sandwich Islands,2012-08-22,Up-sized motivating open system,PG-13
Airlift,Australia,2018-06-08,,Unrated
Sabrina,French Polynesia,2022-04-23,,G
Lola rennt,Martinique,2024-03-18,,Unrated
Dallas Buyers Club,Guernsey,1996-02-11,Devolved modular paradigm,R
A Little Princess,Portugal,2014-08-26,,PG-13
K.G.F: Chapter 1,Jamaica,2014-09-17,Fully-configurable cohesive customer loyalty,PG
The Great Escape,Cayman Islands,2007-11-05,Automated mobile neural-net,Unrated
La Vie En Rose,Ireland,2017-06-27,,G
Monty Python and the Holy Grail,Montserrat,2013-03-26,,R
Sherlock Jr.,Brunei Darussalam,2013-12-07,,Unrated
Bajrangi Bhaijaan,Cuba,2017-09-12,Distributed even-keeled collaboration,G
Full Metal Jacket,Germany,2002-02-19,Face-to-face encompassing Internet solution,PG
The Princess Bride,Netherlands,1999-10-29,,Unrated
K.G.F: Chapter 1,Pitcairn Islands,1995-07-18,Object-based uniform open system,R
Pink,Turks and Caicos Islands,2001-11-12,,PG
It Happened One Night,Timor-Leste,2001-08-24,,G
Frankenstein,Zambia,2014-05-28,,NC-17
Who Framed Roger Rabbit,Venezuela,2016-01-08,,NC-17
From Here to Eternity,Syrian Arab Republic,2024-11-26,,PG-13
The Innocents,Gambia,2000-04-17,,PG-13
Me and Earl and the Dying Girl,Niue,2021-10-21,,NC-17
Aladdin,Guadeloupe,2000-02-06,,PG-13
Dilwale Dulhania Le Jayenge,United Kingdom,1995-04-21,,R
Shaun of the Dead,Costa Rica,2020-11-11,,PG
La Vie En Rose,Mauritius,2011-04-17,,PG-13
Bridge of Spies,Gibraltar,2007-11-08,,G
Call Me by Your Name,Belize,1996-02-08,Synchronized radical artificial intelligence,Unrated
Glory,China,2011-06-08,,Unrated
Tenkû no shiro Rapyuta,Sweden,2015-04-11,Polarized fault-tolerant product,NC-17
Witness for the Prosecution,Japan,1995-04-15,,PG
Boyz n the Hood,Belgium,2000-01-05,,R
Peeping Tom,Switzerland,2012-12-22,,PG-13
Hiroshima mon amour,Italy,2005-03-19,,Unrated
After Hours,Libyan Arab Jamahiriya,2013-12-02,,PG-13
Flipped,Jordan,2009-11-19,Upgradable 6thgeneration ability,PG-13
Tumbbad,Sao Tome and Principe,2019-10-26,,NC-17
Lucky Number Slevin,Libyan Arab Jamahiriya,2012-03-19,,PG-13
La vita è bella,Sudan,2016-11-08,,Unrated
Little Women,American Samoa,2008-01-25,,PG
Koe no katachi,Kenya,2020-06-02,Enhanced incremental contingency,PG
Boyz n the Hood,Uganda,2019-10-08,,R
On Golden Pond,Madagascar,2002-09-01,,PG-13
Kakushi-toride no san-akunin,Senegal,2001-01-04,,PG-13
Road to Perdition,Bahrain,2007-11-08,,PG
Once Upon a Time in America,Philippines,2016-03-18,Synergized directional moderator,Unrated
Rebel Without a Cause,Samoa,2022-06-09,,PG-13
Ôkami kodomo no Ame to Yuki,Chile,1998-03-26,,R
Letters from Iwo Jima,Swaziland,2013-10-27,,Unrated
Down by Law,Somalia,2022-09-09,,PG-13
Finding Nemo,Svalbard & Jan Mayen Islands,2006-10-06,,R
Talvar,Jamaica,2001-03-26,De-engineered contextually-based intranet,R
Wo hu cang long,Pakistan,2002-02-13,Extended empowering budgetary management,G
Deadpool 2,San Marino,2019-08-22,Implemented mobile focus group,R
Lawrence of Arabia,Barbados,2010-03-12,Polarized encompassing firmware,Unrated
Joyeux Noël,Malaysia,2010-12-05,,R
A Hard Day's Night,French Polynesia,2001-07-11,,NC-17
Roman Holiday,Heard Island and McDonald Islands,2013-03-28,Up-sized even-keeled success,Unrated
Jules et Jim,Cook Islands,2000-11-18,Function-based discrete hardware,PG
The Breakfast Club,Japan,2017-03-28,,PG
Höstsonaten,Andorra,1999-01-19,,R
Love and Death,Saint Kitts and Nevis,2013-12-16,,PG-13
Lola rennt,Sierra Leone,2023-02-13,Configurable leadingedge service-desk,G
Cidade de Deus,El Salvador,2005-12-16,Organized bandwidth-monitored contingency,PG-13
Casino Royale,France,2012-06-02,Expanded optimizing Graphical User Interface,NC-17
Vicky Donor,Guinea,2010-09-28,Optimized responsive service-desk,Unrated
"Il buono, il brutto, il cattivo",Guatemala,2009-04-01,,R
Festen,Germany,2017-04-29,Horizontal analyzing contingency,R
Control,Turks and Caicos Islands,2021-05-05,Switchable dynamic intranet,Unrated
Boogie Nights,Malawi,2021-10-16,,Unrated
Avatar,Japan,2000-05-23,,G
Dog Day Afternoon,Bangladesh,2019-08-31,Fully-configurable human-resource workforce,PG-13
Funny Games,Myanmar,2024-11-24,Monitored systemic circuit,Unrated
The Innocents,Honduras,2010-10-26,,PG
The Muppet Movie,Morocco,2019-11-13,Reactive 4thgeneration encoding,Unrated
Rope,Vanuatu,2008-10-23,Customizable national software,Unrated
Sound of Metal,Ghana,2017-11-29,,PG
Mississippi Burning,Eritrea,2025-03-04,,PG
Ghostbusters,Tonga,2004-12-06,,Unrated
Saving Private Ryan,Switzerland,1995-10-19,,PG
There Will Be Blood,Israel,1998-07-06,Ergonomic real-time extranet,PG-13
Catch Me If You Can,Lebanon,1996-08-10,,PG
The Jungle Book,Palau,1996-04-14,,R
Red River,Croatia,2021-02-15,,Unrated
"4 luni, 3 saptamâni si 2 zile",British Indian Ocean Territory (Chagos Archipelago),2007-07-04,,NC-17
Mysterious Skin,Holy See (Vatican City State),2016-08-23,,Unrated
Nuovo Cinema Paradiso,Nigeria,2014-04-21,,R
Dip huet seung hung,France,2002-10-17,,G
Eastern Promises,Dominica,2014-12-18,Quality-focused coherent conglomeration,R
Paper Moon,Singapore,2011-01-10,,PG
Witness for the Prosecution,Jordan,1997-06-16,,Unrated
Creed,Slovenia,2007-09-20,,G
The Fugitive,Venezuela,1995-11-17,,PG-13
Glory,Holy See (Vatican City State),2022-02-07,,Unrated
Yôjinbô,Cape Verde,2014-03-06,,G
No Man's Land,Honduras,2003-06-03,Right-sized full-range migration,G
The Hurricane,Comoros,2005-09-24,,NC-17
Knockin' on Heaven's Door,Kiribati,2020-08-11,Function-based 24/7 interface,Unrated
1917,Zimbabwe,2004-07-27,Monitored radical project,Unrated
Nefes: Vatan Sagolsun,Zambia,2013-04-29,Grass-roots methodical encoding,Unrated
Harry Potter and the Prisoner of Azkaban,South Georgia and the South Sandwich Islands,2001-12-05,,G
Män som hatar kvinnor,Japan,2011-07-15,,PG-13
Enter the Dragon,Senegal,2021-02-14,Ameliorated composite forecast,PG
Munna Bhai M.B.B.S.,Australia,1999-05-24,,NC-17
L'avventura,Sao Tome and Principe,2020-08-02,Versatile radical open system,G
Todo sobre mi madre,Hungary,2023-09-29,Organic client-server capability,NC-17
A Streetcar Named Desire,Bahrain,2021-02-21,Mandatory asymmetric installation,R
Nelyubov,Yemen,1997-12-28,Horizontal dynamic task-force,R
Guess Who's Coming to Dinner,Spain,2017-06-30,,G
Reservoir Dogs,Rwanda,1996-05-22,,PG-13
The Lion in Winter,Western Sahara,2018-12-13,,NC-17
Pan's Labyrinth,Brazil,2014-09-24,,PG
Goldfinger,Jamaica,2020-10-14,Networked well-modulated service-desk,PG-13
A Christmas Story,Equatorial Guinea,2013-11-19,,NC-17
Chinatown,United States Minor Outlying Islands,2013-05-25,,NC-17
Some Like It Hot,Colombia,1996-05-14,,PG-13
Manbiki kazoku,Sri Lanka,2009-06-29,Distributed context-sensitive collaboration,NC-17
Chak De! India,Heard Island and McDonald Islands,2023-09-07,,R
Dancer in the Dark,Bosnia and Herzegovina,1998-01-24,,R
Nosferatu,Kenya,2009-11-04,Organic radical extranet,PG-13
Toy Story 2,Portugal,2008-06-20,,G
"O Brother, Where Art Thou?",Mali,2008-09-25,Team-oriented didactic matrix,G
Match Point,Saudi Arabia,2015-11-17,Multi-layered discrete interface,PG
The Exorcist,Falkland Islands (Malvinas),2004-08-12,,NC-17
Gattaca,Gambia,2017-03-23,,NC-17
Knockin' on Heaven's Door,Denmark,2024-04-07,,G
Birdman or (The Unexpected Virtue of Ignorance),Portugal,2015-01-07,,PG
Majo no takkyûbin,Nepal,2002-09-28,,PG-13
Bringing Up Baby,Nigeria,2012-11-03,,PG-13
What We Do in the Shadows,Albania,2009-04-29,,Unrated
All Quiet on the Western Front,Bouvet Island (Bouvetoya),1997-11-15,,NC-17
Despicable Me,Cuba,2022-04-12,,PG
Aladdin,Turkey,1997-11-17,,G
The Shawshank Redemption,Taiwan,2024-04-04,Reduced modular complexity,R
Baby Driver,Armenia,1996-02-19,,G
The Fighter,Denmark,2015-06-08,Front-line eco-centric strategy,Unrated
The Truman Show,Gabon,2004-08-03,,PG-13
The Breakfast Club,Turkmenistan,2024-05-03,,PG
My Name Is Khan,Jordan,2007-12-12,,PG
The Shop Around the Corner,Luxembourg,2019-03-27,Self-enabling full-range productivity,PG
Giant,Estonia,2021-01-14,,PG-13
Mou gaan dou,Guyana,2008-11-09,,NC-17
The Station Agent,Bhutan,2016-05-08,,NC-17
Relatos salvajes,Chile,1995-11-19,,R
Straight Outta Compton,Christmas Island,2008-07-24,Decentralized fault-tolerant circuit,R
Thor: Ragnarok,Madagascar,2023-08-21,Vision-oriented actuating challenge,NC-17
Jaws,Romania,2024-03-07,,G
A Clockwork Orange,Brunei Darussalam,2006-06-09,,PG
One Flew Over the Cuckoo's Nest,Djibouti,2010-02-24,,PG
Dil Bechara,Papua New Guinea,2012-04-19,,PG-13
Mary Poppins,Romania,2025-03-10,,PG-13
Sholay,Qatar,1998-09-02,,PG
Mulan,Russian Federation,2013-10-04,Enhanced attitude-oriented project,Unrated
Apocalypto,Grenada,2014-12-05,,G
Glory,United Arab Emirates,2023-09-18,Ameliorated transitional frame,R
Boogie Nights,Tokelau,1996-01-06,,PG-13
Star Wars: Episode V - The Empire Strikes Back,Algeria,2024-09-14,,PG-13
The Theory of Everything,Faroe Islands,2011-12-14,,PG
True Romance,Cuba,2023-03-08,,NC-17
The Big Lebowski,Armenia,2013-08-13,Cross-group transitional definition,NC-17
Jojo Rabbit,Panama,2024-10-24,,G
Life of Pi,Sri Lanka,2019-07-26,,PG
Lage Raho Munna Bhai,Ghana,2010-07-30,,PG-13
Chhichhore,Isle of Man,2000-07-29,,R
Mary Poppins,United Kingdom,2016-04-10,,G
Night on Earth,Saint Kitts and Nevis,2016-11-15,,PG
The Last King of Scotland,Eritrea,2018-06-04,Intuitive responsive hardware,PG
As Good as It Gets,Niue,1999-10-18,Streamlined asymmetric model,R
Trois couleurs: Blanc,Guinea,2022-11-06,,PG
Vicky Donor,Rwanda,2004-07-29,,NC-17
Ajeossi,Burkina Faso,2014-04-14,,NC-17
On the Waterfront,Eritrea,2000-05-18,,Unrated
Gake no ue no Ponyo,El Salvador,2008-09-09,,PG-13
Good Bye Lenin!,Guernsey,2021-07-05,Organic uniform flexibility,R
Guardians of the Galaxy Vol. 2,Trinidad and Tobago,2004-06-10,,PG
Zerkalo,Tonga,2005-02-23,,PG-13
The Longest Day,Belarus,2012-12-27,User-centric 6thgeneration protocol,G
Enter the Dragon,Antigua and Barbuda,2012-05-01,Cross-platform tertiary open system,Unrated
La dolce vita,South Africa,2018-07-06,,PG
The Philadelphia Story,British Indian Ocean Territory (Chagos Archipelago),1996-03-03,,PG-13
Sleepers,Libyan Arab Jamahiriya,2019-02-25,,Unrated
M - Eine Stadt sucht einen Mörder,French Guiana,2020-05-13,,PG-13
Wo hu cang long,Gibraltar,2016-11-07,,PG
The Man from Earth,Guatemala,2023-10-12,,R
Dangal,Taiwan,2022-06-17,Reduced regional project,PG
Celda 211,Holy See (Vatican City State),2000-11-22,,Unrated
After Hours,Uzbekistan,2018-09-03,,G
Batman: Mask of the Phantasm,Guinea-Bissau,2013-10-28,,Unrated
Fight Club,Grenada,2002-04-27,,PG-13
Monty Python and the Holy Grail,Armenia,2022-07-29,Grass-roots tertiary implementation,PG
A Christmas Story,Latvia,1995-12-11,,PG
Festen,Central African Republic,2001-11-04,,PG
The Prestige,Costa Rica,2000-12-10,,NC-17
Night of the Living Dead,Nepal,2001-02-21,,NC-17
A Streetcar Named Desire,Mexico,2007-03-25,,R
Donnie Brasco,Mauritius,2014-12-12,,PG-13
Shichinin no samurai,Colombia,2018-09-17,,PG-13
Stand by Me,Anguilla,2001-10-15,,Unrated
